time,joint1,joint2,joint3,joint4,joint5,joint6,joint7,joint8,joint9,joint10,joint11,joint12,joint13,joint14,Revolute15
0.0,-0.2735,-0.0884,-2.181662,-0.6618,0.0,0.0,0.0,0.152,0.2893,-2.181662,0.4304,0.0,0.0,0.0,-0.0207
0.085,-0.276,-0.0895,-2.181662,-0.6597,0.0,0.0,0.0,0.1531,0.2886,-2.181662,0.4262,0.0,0.0,0.0,-0.0255
0.169,-0.2786,-0.091,-2.181662,-0.6583,0.0,0.0,0.0,0.1537,0.2875,-2.181662,0.4221,0.0,0.0,0.0,-0.0287
0.255,-0.2816,-0.0927,-2.181662,-0.6581,0.0,0.0,0.0,0.154,0.2869,-2.181662,0.4185,0.0,0.0,0.0,-0.0306
0.339,-0.2833,-0.0944,-2.181662,-0.6575,0.0,0.0,0.0,0.1491,0.2868,-2.181662,0.4147,0.0,0.0,0.0,-0.0325
0.408,-0.2844,-0.0958,-2.181662,-0.657,0.0,0.0,0.0,0.1449,0.2867,-2.181662,0.4115,0.0,0.0,0.0,-0.0328
0.466,-0.2849,-0.0969,-2.181662,-0.6568,0.0,0.0,0.0,0.1419,0.2868,-2.181662,0.4095,0.0,0.0,0.0,-0.0324
0.56,-0.2836,-0.0986,-2.181662,-0.6586,0.0,0.0,0.0,0.1384,0.2866,-2.181662,0.4073,0.0,0.0,0.0,-0.0304
0.64,-0.2826,-0.0998,-2.181662,-0.6605,0.0,0.0,0.0,0.1358,0.2865,-2.181662,0.4064,0.0,0.0,0.0,-0.0278
0.724,-0.2816,-0.1011,-2.181662,-0.6639,0.0,0.0,0.0,0.1318,0.2864,-2.181662,0.4059,0.0,0.0,0.0,-0.0273
0.803,-0.2806,-0.1022,-2.181662,-0.667,0.0,0.0,0.0,0.1283,0.2862,-2.181662,0.4065,0.0,0.0,0.0,-0.0275
0.889,-0.2799,-0.1034,-2.181662,-0.67,0.0,0.0,0.0,0.1235,0.2863,-2.181662,0.4067,0.0,0.0,0.0,-0.0297
0.974,-0.2793,-0.1043,-2.181662,-0.6721,0.0,0.0,0.0,0.1198,0.2863,-2.181662,0.4076,0.0,0.0,0.0,-0.031
1.052,-0.2781,-0.105,-2.181662,-0.6735,0.0,0.0,0.0,0.1167,0.2858,-2.181662,0.4077,0.0,0.0,0.0,-0.0327
1.118,-0.2776,-0.1054,-2.181662,-0.674,0.0,0.0,0.0,0.116,0.2871,-2.181662,0.4089,0.0,0.0,0.0,-0.033
