motion,step,duration,hold,joint1,joint2,joint3,joint4,joint5,joint6,joint7,joint8,joint9,joint10,joint11,joint12,joint13,joint14,Revolute15
init,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arm_lift,1,-1,0,-90,90,0,90,0,0,0,-90,90,0,90,0,0,0,0
arm_lift,2,-1,0,0,90,0,90,0,0,0,0,90,0,90,0,0,0,0
arm_lift,3,-1,0,90,90,0,90,0,0,0,90,90,0,90,0,0,0,0
arm_lift,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hello,1,-1,0,0,120,90,90,0,60,0,0,120,90,90,0,60,0,0
hello,2,-1,0,0,90,90,30,0,30,0,0,90,90,30,0,30,0,0
hello,3,-1,0,0,120,90,90,0,60,0,0,120,90,90,0,60,0,0
hello,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arm_rotate,1,-1,0,90,0,0,90,0,0,0,90,0,0,90,0,0,0,0
arm_rotate,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
arm_rotate,3,-1,0,0,90,0,0,0,0,0,0,90,0,0,0,0,0,0
arm_rotate,4,-1,0,90,0,0,90,0,0,0,90,0,0,90,0,0,0,90
arm_rotate,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
running,1,3.0,0,60,20,0,90,0,0,0,-60,20,0,90,0,0,0,-45
running,2,3.0,0,-60,20,0,90,0,0,0,60,20,0,90,0,0,0,45
running,3,3.0,0,60,20,0,90,0,0,0,-60,20,0,90,0,0,0,-45
running,4,3.0,0,-60,20,0,90,0,0,0,60,20,0,90,0,0,0,45
running,5,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
